#,id,house_type,house_floor,house_direction,house_area,house_structure,transaction_type,transaction_time,house_decoration,is_elevator,house_year,house_loc,house_position,u_price,t_price,detail_url,green_rate
58,37,5室3厅1厨4卫,中楼层(共9层),南,348.65,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,60950,2125,https://sh.lianjia.com/chengjiao/107001427267.html,0.35
59,38,4室2厅1厨2卫,低楼层(共14层),南,186.54,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,69691,1300,https://sh.lianjia.com/chengjiao/107001116015.html,0.35
60,39,2室2厅1厨1卫,中楼层(共20层),南,91.41,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,85330,780,https://sh.lianjia.com/chengjiao/107001539773.html,0.35
61,40,4室2厅1厨3卫,低楼层(共20层),南,214.33,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,68586,1470,https://sh.lianjia.com/chengjiao/107000608161.html,0.35
62,41,4室2厅1厨2卫,低楼层(共14层),南,184.85,平层,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,65729,1215,https://sh.lianjia.com/chengjiao/107010099237.html,0.35
63,42,3室2厅1厨2卫,低楼层(共20层),南,151.72,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,72502,1100,https://sh.lianjia.com/chengjiao/107010107590.html,0.35
64,43,2室2厅1厨1卫,高楼层(共20层),南,92,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,76087,700,https://sh.lianjia.com/chengjiao/107010106612.html,0.35
65,44,2室2厅1厨1卫,高楼层(共20层),南,92,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,77174,710,https://sh.lianjia.com/chengjiao/107010104716.html,0.35
66,45,2室2厅1厨2卫,中楼层(共20层),南,91.41,平层,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,76141,696,https://sh.lianjia.com/chengjiao/107010081674.html,0.35
67,46,4室2厅1厨3卫,中楼层(共18层),南,208.12,暂无数据,成交,1970-01-01,其他,有,2012,仁恒森兰雅苑(一期),,67173,1398,https://sh.lianjia.com/chengjiao/107010098052.html,0.35
68,47,5室3厅1厨3卫,高楼层(共14层),南,288.22,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,62453,1800,https://sh.lianjia.com/chengjiao/107010098762.html,0.35
69,48,4室3厅1厨5卫,低楼层(共2层),南,363.7,暂无数据,成交,1970-01-01,其他,无,2012,仁恒森兰雅苑(一期),,57740,2100,https://sh.lianjia.com/chengjiao/107010098879.html,0.35
70,49,4室2厅1厨2卫,高楼层(共14层),南,183.84,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,68538,1260,https://sh.lianjia.com/chengjiao/107010094683.html,0.35
